key,en,es,ar
appLAppName,eSalon,esalon,esalon
appLAppVersion,1.0.0,1.0.0,1.0.0
appLSlogan,We care about you,Nos preocupamos por usted,نحن نهتم بك
appLSkip,Skip,Saltar,يتخطى
appLTimeNotAvailable,Selected time not available,Tiempo seleccionado no disponible,وقت محدد غير متوفر
appLSignUpSuccess,Sign Up Successful,Regístrese exitoso,الاشتراك بنجاح
appLSuccessPayment,Payment Successful,Pago exitoso,الدفع ناجح
appLMobile,Mobile,Móvil,متحرك
appLTime,Time,Tiempo,وقت
appLResetPasswordSuccess,Reset Password Successful,Restablecer contraseña exitosa,إعادة تعيين كلمة المرور الناجحة
appLTotalServicePrice,Total Service Price,Precio total de servicio,إجمالي سعر الخدمة
appLPaymentMethod,Payment Method,Método de pago,طريقة الدفع او السداد
appLPaymentInformation,Payment Information,Información del pago,معلومات الدفع
appLSerialNumber,Serial Number,Número de serie,رقم سري
appLScheduleInformation,Schedule Information,Programar información,الجدول الزمني للمعلومات
appLContact,Contact,Contacto,اتصال
appLBookingDetails,Booking Details,Detalles de la reserva,تفاصيل الحجز
appLCurrentPassword,Current Password,Contraseña actual,كلمة السر الحالية
appLFind,Find,Encontrar,يجد
appLServiceName,Service Name,Nombre del Servicio,اسم الخدمة
appLServiceInformation,Service Information,Servicio de información,معلومات الخدمة
appLNoDataFound,No Data Found!,¡Datos no encontrados!,لاتوجد بيانات!
appLPaypal,Paypal,Paypal,PayPal
appLPayment,Payment,Pago,قسط
appLServiceType,Service Type,Tipo de servicio,نوع الخدمة
appLAppointmentPreview,Appointment Preview,Vista previa de la cita,معاينة الموعد
appLParlourDetails,Parlour Details,Detalles de la sala,تفاصيل صالون
appLServiceSelect,Service Select,Selección de servicio Seleccionar,SELECT SELECT
appLEmptyString,,#VALUE!,#VALUE!
appLCancel,Cancel,Cancelar,يلغي
appLSelectPaymentMethod,Select Payment Method,Seleccionar método de pago,اختار طريقة الدفع
appLParlourName,Parlour Name,Nombre de la sala,اسم صالون
appLNext,Next,Próximo,التالي
appLExperience,Experience,Experiencia,خبرة
appLParlourAddress,Parlour Address,Dirección de la sala,عنوان صالون
appLMakeAppointment,Make Appointment,Concertar cita,حدد موعدا
appLSearch,Search,Buscar,يبحث
appLGetService,Get Service,Obtener servicio,احصل على خدمة
appLLogMessage,Do you want to logout?,¿Quieres cerrar sesión?,هل ترغب بالخروج؟
appLWelcomeTitle,Book an Appointment for Salon,Reserve una cita para el salón,حجز موعد للصالون
appLWelcomeSubTitle,Salons have a reputation for being a place where clients can go to get services done and be pampered in a peaceful environment.,Los salones tienen la reputación de ser un lugar donde los clientes puedan ir a realizar servicios y ser mimados en un entorno pacífico.,تتمتع الصالونات بسمعة طيبة لكونها مكانًا يمكن للعملاء الذهاب إليه لإنجاز الخدمات وأن يتم تدليلهم في بيئة سلمية.
appLSelectLanguage,Select Language,Seleccione el idioma,اختار اللغة
appLWelcomeTitleText,Welcome Back,Bienvenido de nuevo,مرحبًا بعودتك
appLWelcomeSubTitleText,Login to your account,Ingrese a su cuenta,تسجيل الدخول إلى حسابك
appLCustomerType,New to Salon?,¿Nuevo en Salon?,جديد على صالون؟
appLForgotPassword,Forgot Password?,¿Has olvidado tu contraseña?,هل نسيت كلمة السر؟
appLNewToeSalon,New to eSalon?,Nuevo en Esalon?,جديد على Esalon؟
appLForgotPasswordText,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
appLContinueText,Continue,Continuar,يكمل
appLForgotPasswordTitle,Please Enter Your Email Address or Phone Number to Reset Your Password,Ingrese su dirección de correo electrónico o número de teléfono para restablecer su contraseña,الرجاء إدخال عنوان بريدك الإلكتروني أو رقم الهاتف لإعادة تعيين كلمة المرور الخاصة بك
appLDidNotGetCode,Didnt get any code?,¿No obtuvo ningún código?,لم تحصل على أي رمز؟
appLIdentityVerification,"Your identity has been verified, Set your new Password","Su identidad ha sido verificada, establezca su nueva contraseña",تم التحقق من هويتك ، وضبط كلمة المرور الجديدة الخاصة بك
appLConfirmNewPassword,Confirm New Password,Confirmar nueva contraseña,تأكيد كلمة المرور الجديدة
appLSignUpSubTitle,Create your account to use eSalon,Crea tu cuenta para usar Esalon,إنشاء حسابك لاستخدام esalon
